Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
daszwiebelprinzip,CH,922,139,83.173.198.226,226.198.173.83.static.wline.lns.sme.cust.swisscom.ch,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-11-26,SWISSCOM Swisscom (Switzerland) Ltd- CH,3303,4100,None
miranoa,UA,922,1436,91.231.86.204,91-231-86-204.saaki.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-11-06,UKRNAMES-AS - UA,197726,4780,None
okamoto,US,922,2870,216.24.242.34,rockclimbing.tech,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2016-08-26,MULTA-ASN1 - MULTACOM CORPORATION- US,35916,5960,None
jinx,FR,919,1115,195.154.172.22,195-154-172-22.rev.poneytelecom.eu,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.5.12 on Linux,0,0,2015-04-14,AS12876 - FR,12876,5970,None
torpidsUShsi,US,917,100,69.64.46.27,dragon085.startdedicated.de,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.0.1-alpha on Linux,0,0,2015-03-22,SERVER4YOU - server4you Inc.- US,30083,7010,None
UnivUtah0,US,917,364,155.98.5.5,tor.coe.utah.edu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-08,UTAH - University of Utah- US,17055,5300,None
AccessNow014,CH,915,351,176.10.99.207,176.10.99.207,3389,3390,0,1,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-11-23,AS-SOFTPLUS - CH,51395,21300,None
pirateship,DE,915,1333,85.214.108.95,85.214.108.95,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-09-10,STRATO STRATO AG- DE,6724,3370,None
Unnamed,US,912,362,23.239.145.125,torsrvh.snydernet.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2014-04-11,DIMENOC - HostDime.com- Inc.- US,33182,4400,None
agnivohneb,CA,911,196,47.55.112.228,hlfxns017vw-047055112228.dhcp-dynamic.FibreOp.ns.bellaliant.net,9001,9030,0,0,1,0,0,0,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-05-01,CANET-ASN-4 - Bell Aliant Regional Communications- Inc.- CA,855,3910,None
iprivateTorRelay4,US,911,1307,136.62.18.221,136.62.18.221,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-09-01,GOOGLE-FIBER - Google Fiber Inc.- US,16591,2180,None
Mozilla3,US,910,9521,208.36.2.4,208.36.2.4.ptr.us.xo.net,9090,9091,0,0,1,1,0,1,1,1,1,Tor 0.2.7.5 on Linux,0,0,2015-01-21,XO-AS15 - XO Communications- US,2828,3850,None
niftygundi,US,910,138,23.254.167.185,cvps11712872131.hostwindsdns.com,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-11-25,HOSTWINDS - Hostwinds LLC.- US,54290,6760,None
SnapTorRelay1,IT,910,160,193.70.22.86,ip86.ip-193-70-22.eu,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-17,OVH - FR,16276,8610,None
callay,NL,909,609,45.32.238.61,callay.viennan.net,443,80,0,0,1,1,0,1,1,1,1,Tor 0.3.0.0-alpha-dev on OpenBSD,0,0,2016-08-13,AS-CHOOPA - Choopa- LLC- US,20473,2220,None
L29Ah,RU,907,63,94.242.59.47,srv1.lesecret.xyz,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-11-24,FISHNET-AS - RU,43317,6230,None
green,US,905,6268,104.131.148.86,104.131.148.86,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-01-09,DIGITALOCEAN-ASN - Digital Ocean- Inc.- US,14061,3810,None
kiwiboom,SG,904,1739,209.58.180.46,tor-exit6.bleachedbits.com,9001,None,0,1,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-10-23,LSW-SG Leaseweb Asia Pacific pte. ltd.- SG,59253,2480,None
bananajazz,DK,903,337,80.71.140.9,80.71.140.9,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Darwin,0,0,2016-02-02,PARKNET-AS - DK,197301,3950,None
